baud,tprop,fer,infosize,time
9600,0,0.0,256,12.682074785232544
9600,0,0.0,512,12.15056586265564
9600,0,0.0,1024,nan
9600,0,0.0,2048,39.454936027526855
9600,0,0.01,256,12.682848453521729
9600,0,0.01,512,12.15120816230774
9600,0,0.01,1024,nan
9600,0,0.01,2048,39.4551157951355
9600,0,0.05,256,16.969876050949097
9600,0,0.05,512,12.150983095169067
9600,0,0.05,1024,nan
9600,0,0.05,2048,39.45498466491699
9600,0,0.1,256,18.969096660614014
9600,0,0.1,512,14.70930290222168
9600,0,0.1,1024,nan
9600,0,0.1,2048,nan
9600,200000,0.0,256,32.084832191467285
9600,200000,0.0,512,22.752318620681763
9600,200000,0.0,1024,nan
9600,200000,0.0,2048,36.05259132385254
9600,200000,0.01,256,32.084595918655396
9600,200000,0.01,512,22.752227306365967
9600,200000,0.01,1024,nan
9600,200000,0.01,2048,36.052672147750854
9600,200000,0.05,256,32.77039670944214
9600,200000,0.05,512,nan
9600,200000,0.05,1024,nan
9600,200000,0.05,2048,36.052961111068726
9600,200000,0.1,256,nan
9600,200000,0.1,512,25.613436222076416
9600,200000,0.1,1024,nan
9600,200000,0.1,2048,nan
9600,1000000,0.0,256,94.32876896858215
9600,1000000,0.0,512,50.586493730545044
9600,1000000,0.0,1024,nan
9600,1000000,0.0,2048,44.719093561172485
9600,1000000,0.01,256,95.32828712463379
9600,1000000,0.01,512,50.58734130859375
9600,1000000,0.01,1024,nan
9600,1000000,0.01,2048,44.71956515312195
9600,1000000,0.05,256,95.3029191493988
9600,1000000,0.05,512,50.58744740486145
9600,1000000,0.05,1024,nan
9600,1000000,0.05,2048,nan
9600,1000000,0.1,256,nan
9600,1000000,0.1,512,50.56314563751221
9600,1000000,0.1,1024,nan
9600,1000000,0.1,2048,nan

